Timestamp,pc-c220m4-r04-19.wisc.cloudlab.us last hour   
2015-11-03T23:08:30-06:00,7122076.5
2015-11-03T23:08:45-06:00,7153723.1667
2015-11-03T23:09:00-06:00,7150816.6667
2015-11-03T23:09:15-06:00,7123076.1667
2015-11-03T23:09:30-06:00,7116543.5
2015-11-03T23:09:45-06:00,7130314.5
2015-11-03T23:10:00-06:00,7153477.5667
2015-11-03T23:10:15-06:00,7131479.1667
2015-11-03T23:10:30-06:00,7135225.4667
2015-11-03T23:10:45-06:00,7151197.2
2015-11-03T23:11:00-06:00,7138780.1333
2015-11-03T23:11:15-06:00,7135628.0667
2015-11-03T23:11:30-06:00,7138487.2333
2015-11-03T23:11:45-06:00,7143015.9
2015-11-03T23:12:00-06:00,7131355.2333
2015-11-03T23:12:15-06:00,7169597.5
2015-11-03T23:12:30-06:00,7153556.9667
2015-11-03T23:12:45-06:00,7149817.7
2015-11-03T23:13:00-06:00,7170624
2015-11-03T23:13:15-06:00,7149453
2015-11-03T23:13:30-06:00,7169797.5
2015-11-03T23:13:45-06:00,7160091.7
2015-11-03T23:14:00-06:00,7149626.2333
2015-11-03T23:14:15-06:00,7151984.2
2015-11-03T23:14:30-06:00,7175474.4
2015-11-03T23:14:45-06:00,7171123.4
2015-11-03T23:15:00-06:00,7167992.4
2015-11-03T23:15:15-06:00,7145320.4
2015-11-03T23:15:30-06:00,7154629.5
2015-11-03T23:15:45-06:00,7163039.6
2015-11-03T23:16:00-06:00,7178878.6
2015-11-03T23:16:15-06:00,7173400.8
2015-11-03T23:16:30-06:00,7166921.8
2015-11-03T23:16:45-06:00,7152092.7667
2015-11-03T23:17:00-06:00,7154986.5333
2015-11-03T23:17:15-06:00,7185975.4
2015-11-03T23:17:30-06:00,7190108.2
2015-11-03T23:17:45-06:00,7133948.9
2015-11-03T23:18:00-06:00,7149678.4
2015-11-03T23:18:15-06:00,7170418.5
2015-11-03T23:18:30-06:00,7903597
2015-11-03T23:18:45-06:00,11252028.2
2015-11-03T23:19:00-06:00,12988266.6
2015-11-03T23:19:15-06:00,11709932.133
2015-11-03T23:19:30-06:00,2952365.4919
2015-11-03T23:19:45-06:00,870.31525333
2015-11-03T23:20:00-06:00,642.97503333
2015-11-03T23:20:15-06:00,541.82233333
2015-11-03T23:20:30-06:00,809.35204
2015-11-03T23:20:45-06:00,569.31234667
2015-11-03T23:21:00-06:00,742.96
2015-11-03T23:21:15-06:00,1018.5680867
2015-11-03T23:21:30-06:00,968.68688667
2015-11-03T23:21:45-06:00,917.25808
2015-11-03T23:22:00-06:00,1046.8525333
2015-11-03T23:22:15-06:00,1292.6308933
2015-11-03T23:22:30-06:00,8927.6166933
2015-11-03T23:22:45-06:00,470.11033333
2015-11-03T23:23:00-06:00,862.60426667
